现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
-0.00613013,-0.0339149,-2.9766,0,0,-28.7558,-93.8609,-4.32238,0,0,-19.4504,-36.8142,-4.75,0,0,-72.1547,-228.28,-4.75,0,0
-0.0165538,-0.0347454,-2.98189,0,0,-30.06,-93.4649,-4.48863,0,0,-20.0343,-37.565,-5,0,0,-75.2021,-232.189,-5,0,0
-0.013133,0.0114026,-2.96289,0,0,-31.0966,-95.6945,-4.51264,0,0,-20.5067,-39.2758,-5.05,0,0,-77.7102,-242.113,-5.05,0,0
-0.0121962,0.00312264,-2.99281,0,0,-31.913,-94.1007,-4.58953,0,0,-21.005,-39.6105,-5.15,0,0,-79.71,-242.673,-5.15,0,0
-0.0117,0.00165391,-2.97967,0,0,-32.5845,-94.7322,-4.6149,0,0,-21.4875,-40.2663,-5.2,0,0,-81.4691,-246.522,-5.2,0,0
-0.0116399,0.000200452,-2.97209,0,0,-33.1492,-94.1227,-4.64256,0,0,-21.8983,-40.2708,-5.25,0,0,-83.0169,-248.108,-5.25,0,0
-0.012564,-0.00308044,-2.96635,0,0,-33.6538,-93.9046,-4.67115,0,0,-22.2787,-40.4475,-5.3,0,0,-84.4005,-249.86,-5.3,0,0
-0.013603,-0.00346313,-2.9601,0,0,-34.109,-93.8437,-4.69888,0,0,-22.6677,-40.7681,-5.35,0,0,-85.6867,-251.842,-5.35,0,0
-0.0144439,-0.00280324,-2.95444,0,0,-34.5228,-93.8591,-4.72637,0,0,-23.0542,-41.0482,-5.4,0,0,-86.9094,-253.943,-5.4,0,0
-0.0154266,-0.00327552,-2.94929,0,0,-34.9234,-94.0254,-4.75408,0,0,-23.4319,-41.3078,-5.45,0,0,-88.0827,-256.094,-5.45,0,0
-0.0170565,-0.00543293,-2.97157,0,0,-35.3204,-94.2505,-4.82498,0,0,-23.8135,-41.6144,-5.55,0,0,-89.2519,-258.397,-5.55,0,0
-0.0182974,-0.00413636,-2.96936,0,0,-35.6986,-95.765,-4.8533,0,0,-24.2003,-42.3946,-5.6,0,0,-90.3706,-262.92,-5.6,0,0
-0.0191372,-0.00279943,-2.96513,0,0,-36.071,-96.0365,-4.88009,0,0,-24.587,-42.6833,-5.65,0,0,-91.4841,-265.223,-5.65,0,0
-0.0198434,-0.00235405,-2.96302,0,0,-36.4365,-96.266,-4.90759,0,0,-24.9673,-42.9512,-5.7,0,0,-92.5789,-267.481,-5.7,0,0
-0.0204592,-0.00205263,-2.96159,0,0,-36.7992,-96.5416,-4.93503,0,0,-25.3398,-43.2173,-5.75,0,0,-93.6614,-269.761,-5.75,0,0
-0.0215651,-0.00368641,-2.96103,0,0,-37.1542,-96.8037,-4.96237,0,0,-25.7085,-43.5007,-5.8,0,0,-94.737,-272.06,-5.8,0,0
-0.0224514,-0.00295435,-2.96158,0,0,-37.5105,-97.104,-4.98997,0,0,-26.0739,-43.7872,-5.85,0,0,-95.802,-274.347,-5.85,0,0
-0.0231891,-0.0024589,-2.96256,0,0,-37.8633,-97.3944,-5.01716,0,0,-26.4336,-44.0673,-5.9,0,0,-96.8681,-276.673,-5.9,0,0
-0.0236884,-0.00166415,-2.98989,0,0,-38.2239,-97.7158,-5.08704,0,0,-26.7921,-44.3653,-6,0,0,-97.9542,-279.062,-6,0,0
-0.0241641,-0.00158571,-2.99236,0,0,-38.586,-99.3226,-5.11401,0,0,-27.1476,-45.1291,-6.05,0,0,-99.037,-283.746,-6.05,0,0
-0.0246239,-0.00153263,-2.99692,0,0,-38.9404,-99.5704,-5.14168,0,0,-27.5012,-45.4266,-6.1,0,0,-100.103,-286.013,-6.1,0,0
-0.0250729,-0.0014967,-3.00187,0,0,-39.2947,-99.8781,-5.16892,0,0,-27.8555,-45.7339,-6.15,0,0,-101.168,-288.331,-6.15,0,0
-0.0253767,-0.00101295,-3.00806,0,0,-39.6459,-100.162,-5.19626,0,0,-28.2111,-46.0426,-6.2,0,0,-102.231,-290.646,-6.2,0,0
-0.0257202,-0.00114499,-3.01502,0,0,-40.0003,-100.474,-5.22334,0,0,-28.5733,-46.3683,-6.25,0,0,-103.299,-292.988,-6.25,0,0
-0.0260906,-0.00123436,-3.0477,0,0,-40.3657,-100.8,-5.29258,0,0,-28.9437,-46.6966,-6.35,0,0,-104.387,-295.378,-6.35,0,0
-0.0263412,-0.000835392,-3.06633,0,0,-40.726,-102.358,-5.32895,0,0,-29.319,-47.4809,-6.4,0,0,-105.461,-300.024,-6.4,0,0
-0.0265108,-0.000565381,-3.0686,0,0,-41.0812,-102.908,-5.34778,0,0,-29.6944,-47.7758,-6.45,0,0,-106.531,-302.331,-6.45,0,0
-0.0267634,-0.000842085,-3.08083,0,0,-41.4371,-102.944,-5.37528,0,0,-30.0679,-48.0642,-6.5,0,0,-107.6,-304.652,-6.5,0,0
-0.0269344,-0.00056991,-3.09464,0,0,-41.7838,-103.213,-5.40324,0,0,-30.4383,-48.3491,-6.55,0,0,-108.661,-306.948,-6.55,0,0
-0.0270501,-0.000385706,-3.11001,0,0,-42.1347,-103.555,-5.43146,0,0,-30.8039,-48.6299,-6.6,0,0,-109.713,-309.242,-6.6,0,0
-0.0271284,-0.00026104,-3.12646,0,0,-42.4873,-103.891,-5.45928,0,0,-31.1626,-48.906,-6.65,0,0,-110.772,-311.589,-6.65,0,0
-0.0271814,-0.000176668,-3.14458,0,0,-42.8341,-104.186,-5.48777,0,0,-31.5189,-49.2001,-6.7,0,0,-111.824,-313.886,-6.7,0,0
-0.0272173,-0.000119566,-3.18759,0,0,-43.1977,-104.586,-5.55696,0,0,-31.8795,-49.5182,-6.8,0,0,-112.904,-316.303,-6.8,0,0
-0.0273794,-0.000540364,-3.20872,0,0,-43.5585,-106.153,-5.5854,0,0,-32.2352,-50.275,-6.85,0,0,-113.976,-320.974,-6.85,0,0
-0.0274891,-0.00036571,-3.2315,0,0,-43.9177,-106.469,-5.61416,0,0,-32.5876,-50.5673,-6.9,0,0,-115.041,-323.27,-6.9,0,0
-0.0275634,-0.000247507,-3.2557,0,0,-44.2701,-106.78,-5.64301,0,0,-32.9424,-50.8807,-6.95,0,0,-116.103,-325.584,-6.95,0,0
