现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
14.9923,5.01131,17.6,0,0,15.0096,4.98806,17.6,0,0,15.0083,4.9893,17.6,0,0,0,0,0,0,0
15.0931,5.01598,17.7,0,0,15.1095,4.98201,17.7,0,0,15.1071,4.98196,17.7,0,0,0,0,0,0,0
15.1919,5.00949,17.8,0,0,15.2079,4.97893,17.8,0,0,15.2064,4.98515,17.8,0,0,0,0,0,0,0
15.2906,5.01142,17.9,0,0,15.3086,4.98723,17.9,0,0,15.306,4.98722,17.9,0,0,0,0,0,0,0
15.3916,5.01972,18,0,0,15.4082,4.98321,18,0,0,15.4058,4.98876,18,0,0,0,0,0,0,0
15.4902,5.01164,18.1,0,0,15.5084,4.98549,18.1,0,0,15.5054,4.98816,18.1,0,0,0,0,0,0,0
15.5917,5.02181,18.2,0,0,15.6074,4.98212,18.2,0,0,15.605,4.98922,18.2,0,0,0,0,0,0,0
15.6897,5.01006,18.3,0,0,15.7095,4.99173,18.3,0,0,15.7058,4.99291,18.3,0,0,0,0,0,0,0
15.7923,5.02555,18.4,0,0,15.8074,4.97734,18.4,0,0,15.8048,4.98692,18.4,0,0,0,0,0,0,0
15.8902,5.00856,18.5,0,0,15.9072,4.98618,18.5,0,0,15.9023,4.98496,18.5,0,0,0,0,0,0,0
15.9905,5.01874,18.6,0,0,16.0071,4.9866,18.6,0,0,16.0035,4.99858,18.6,0,0,0,0,0,0,0
16.0907,5.0179,18.7,0,0,16.1078,4.9886,18.7,0,0,16.1037,4.99438,18.7,0,0,0,0,0,0,0
16.1923,5.02115,18.8,0,0,16.2068,4.98348,18.8,0,0,16.2025,4.99008,18.8,0,0,0,0,0,0,0
16.2893,5.00652,18.9,0,0,16.306,4.98543,18.9,0,0,16.3028,4.99622,18.9,0,0,0,0,0,0,0
16.3908,5.02339,19,0,0,16.4056,4.98825,19,0,0,16.4013,4.99088,19,0,0,0,0,0,0,0
16.4899,5.01436,19.1,0,0,16.506,4.99073,19.1,0,0,16.502,4.99949,19.1,0,0,0,0,0,0,0
16.5898,5.0183,19.2,0,0,16.6069,4.99114,19.2,0,0,16.6026,4.99783,19.2,0,0,0,0,0,0,0
16.6914,5.02258,19.3,0,0,16.7063,4.98597,19.3,0,0,16.7019,4.9936,19.3,0,0,0,0,0,0,0
16.7898,5.01186,19.4,0,0,16.8064,4.98881,19.4,0,0,16.8021,4.99717,19.4,0,0,0,0,0,0,0
